Country,DatabaseWorkedWith,Count
Albania,IBM Db2,1
Albania,MySQL,1
Albania,PostgreSQL,1
Albania,SQL Server,1
Algeria,SQL Server,1
Andorra,Cassandra,1
Argentina,Apache Hive,1
Argentina,MongoDB,1
Argentina,PostgreSQL,2
Australia,Amazon Redshift,2
Australia,Apache Hive,4
Australia,Cassandra,2
Australia,Elasticsearch,2
Australia,Google BigQuery,2
Australia,Google Cloud Storage,2
Australia,IBM Db2,1
Australia,MariaDB,1
Australia,"Microsoft Azure (Tables, CosmosDB, SQL, etc)",1
Australia,MongoDB,4
Australia,MySQL,11
Australia,Neo4j,1
Australia,Oracle,4
Australia,PostgreSQL,9
Australia,Redis,1
Australia,SQL Server,11
Australia,SQLite,9
Austria,Apache Hive,1
Austria,Cassandra,1
Austria,Google Cloud Storage,1
Austria,"Microsoft Azure (Tables, CosmosDB, SQL, etc)",1
Austria,MySQL,5
Austria,Oracle,2
Austria,PostgreSQL,3
Austria,SQL Server,5
Austria,SQLite,1
Bangladesh,SQL Server,1
Belgium,Amazon DynamoDB,2
Belgium,Amazon Redshift,1
Belgium,Apache HBase,2
Belgium,Elasticsearch,1
Belgium,Google BigQuery,1
Belgium,Google Cloud Storage,1
Belgium,MariaDB,1
Belgium,MySQL,3
Belgium,Oracle,2
Belgium,PostgreSQL,1
Belgium,SQL Server,5
Belgium,SQLite,1
Brazil,Amazon DynamoDB,1
Brazil,Amazon RDS/Aurora,1
Brazil,Amazon Redshift,2
Brazil,Cassandra,1
Brazil,Google BigQuery,1
Brazil,Google Cloud Storage,1
Brazil,MongoDB,4
Brazil,MySQL,5
Brazil,Neo4j,3
Brazil,Oracle,1
Brazil,PostgreSQL,6
Brazil,SQL Server,2
Bulgaria,MySQL,1
Bulgaria,SQL Server,1
Canada,Amazon DynamoDB,1
Canada,Amazon RDS/Aurora,3
Canada,Amazon Redshift,7
Canada,Apache HBase,3
Canada,Apache Hive,6
Canada,Cassandra,2
Canada,Elasticsearch,4
Canada,Google BigQuery,2
Canada,Google Cloud Storage,2
Canada,IBM Db2,1
Canada,MariaDB,3
Canada,"Microsoft Azure (Tables, CosmosDB, SQL, etc)",5
Canada,MongoDB,6
Canada,MySQL,13
Canada,Neo4j,2
Canada,Oracle,3
Canada,PostgreSQL,14
Canada,Redis,3
Canada,SQL Server,16
Canada,SQLite,5
Chile,IBM Db2,1
Chile,"Microsoft Azure (Tables, CosmosDB, SQL, etc)",1
Chile,MongoDB,1
Chile,MySQL,1
Chile,PostgreSQL,1
Chile,SQL Server,2
China,Amazon DynamoDB,1
China,Amazon RDS/Aurora,1
China,Apache HBase,2
China,Apache Hive,7
China,Cassandra,1
China,Elasticsearch,2
China,Google BigQuery,1
China,MariaDB,2
China,MongoDB,3
China,MySQL,12
China,Neo4j,1
China,Oracle,1
China,PostgreSQL,3
China,Redis,3
China,SQL Server,4
China,SQLite,2
Colombia,Google Cloud Storage,1
Colombia,MongoDB,3
Colombia,PostgreSQL,2
Croatia,MySQL,1
Cyprus,Oracle,1
Czech Republic,Elasticsearch,1
Czech Republic,MariaDB,2
Czech Republic,MongoDB,1
Czech Republic,Oracle,2
Czech Republic,PostgreSQL,2
Czech Republic,SQLite,1
Denmark,IBM Db2,1
Denmark,"Microsoft Azure (Tables, CosmosDB, SQL, etc)",1
Denmark,MySQL,3
Denmark,PostgreSQL,1
Denmark,Redis,1
Denmark,SQL Server,2
Denmark,SQLite,1
Egypt,IBM Db2,1
Egypt,Oracle,1
Egypt,SQL Server,1
Egypt,SQLite,1
Estonia,MySQL,1
Finland,Elasticsearch,1
Finland,IBM Db2,1
Finland,"Microsoft Azure (Tables, CosmosDB, SQL, etc)",1
Finland,MySQL,1
Finland,Neo4j,1
Finland,PostgreSQL,2
Finland,Redis,1
Finland,SQL Server,2
Finland,SQLite,2
France,Amazon DynamoDB,3
France,Amazon RDS/Aurora,3
France,Amazon Redshift,2
France,Apache HBase,2
France,Apache Hive,6
France,Cassandra,1
France,Elasticsearch,9
France,Google BigQuery,2
France,Google Cloud Storage,1
France,MariaDB,5
France,"Microsoft Azure (Tables, CosmosDB, SQL, etc)",1
France,MongoDB,9
France,MySQL,15
France,Neo4j,1
France,Oracle,1
France,PostgreSQL,9
France,Redis,7
France,SQL Server,7
France,SQLite,2
Germany,Amazon DynamoDB,1
Germany,Amazon RDS/Aurora,1
Germany,Amazon Redshift,4
Germany,Apache HBase,1
Germany,Apache Hive,6
Germany,Cassandra,2
Germany,Elasticsearch,6
Germany,Google BigQuery,3
Germany,Google Cloud Storage,2
Germany,MariaDB,8
Germany,"Microsoft Azure (Tables, CosmosDB, SQL, etc)",1
Germany,MongoDB,6
Germany,MySQL,22
Germany,Oracle,3
Germany,PostgreSQL,15
Germany,Redis,5
Germany,SQL Server,9
Germany,SQLite,8
Ghana,SQL Server,1
Greece,Apache Hive,1
Greece,PostgreSQL,1
Greece,Redis,1
Guatemala,MariaDB,1
Guatemala,MySQL,1
Guatemala,SQL Server,1
Hungary,Apache HBase,1
Hungary,Apache Hive,1
Hungary,"Microsoft Azure (Tables, CosmosDB, SQL, etc)",1
Hungary,MySQL,3
Hungary,PostgreSQL,3
Hungary,Redis,1
Hungary,SQL Server,1
Hungary,SQLite,2
India,Amazon DynamoDB,3
India,Amazon RDS/Aurora,3
India,Amazon Redshift,7
India,Apache HBase,13
India,Apache Hive,18
India,Cassandra,14
India,Elasticsearch,10
India,Google BigQuery,3
India,Google Cloud Storage,9
India,IBM Db2,3
India,MariaDB,4
India,Memcached,3
India,"Microsoft Azure (Tables, CosmosDB, SQL, etc)",4
India,MongoDB,34
India,MySQL,63
India,Neo4j,3
India,Oracle,11
India,PostgreSQL,24
India,Redis,11
India,SQL Server,35
India,SQLite,16
Indonesia,Cassandra,1
Indonesia,MongoDB,1
Indonesia,MySQL,1
Iran,MySQL,1
Iran,SQL Server,1
Iraq,MySQL,1
Ireland,Amazon Redshift,1
Ireland,Apache Hive,2
Ireland,Elasticsearch,1
Ireland,Google Cloud Storage,2
Ireland,"Microsoft Azure (Tables, CosmosDB, SQL, etc)",1
Ireland,MongoDB,2
Ireland,MySQL,2
Ireland,Neo4j,1
Ireland,PostgreSQL,2
Ireland,SQL Server,1
Ireland,SQLite,1
Israel,Amazon DynamoDB,1
Israel,Amazon RDS/Aurora,1
Israel,Amazon Redshift,3
Israel,Apache Hive,2
Israel,Cassandra,1
Israel,Elasticsearch,2
Israel,Google BigQuery,3
Israel,Google Cloud Storage,1
Israel,IBM Db2,1
Israel,MariaDB,1
Israel,MongoDB,3
Israel,MySQL,4
Israel,Neo4j,1
Israel,PostgreSQL,5
Israel,Redis,2
Israel,SQL Server,1
Israel,SQLite,2
Italy,Amazon Redshift,1
Italy,Apache HBase,1
Italy,Apache Hive,3
Italy,Elasticsearch,1
Italy,MongoDB,3
Italy,MySQL,8
Italy,Oracle,4
Italy,PostgreSQL,6
Italy,SQL Server,7
Italy,SQLite,2
