Country,Gender,Count
Albania,Male,1
Algeria,Male,1
Andorra,Female,1
Argentina,Male,2
Australia,Female,4
Australia,Male,20
Austria,Male,6
Bangladesh,Male,1
Belgium,Male,10
Brazil,Male,15
Bulgaria,Male,1
Canada,Female,9
Canada,Male,23
Chile,Male,4
China,Female,1
China,Male,10
Colombia,Female,1
Colombia,Male,3
Croatia,Male,1
Cyprus,Male,1
Czech Republic,Male,4
Denmark,Male,6
Egypt,Male,2
Estonia,Male,1
Finland,Male,7
France,Female,3
France,Male,35
Germany,Female,2
Germany,Male,58
Ghana,Male,1
Greece,Male,2
Guatemala,Female,1
Hong Kong (S.A.R.),Female,1
Hong Kong (S.A.R.),Male,5
Hungary,Female,2
Hungary,Male,3
India,Female,8
India,Male,71
Iraq,Female,1
Ireland,Male,4
Israel,Female,1
Israel,Male,12
Italy,Female,1
Italy,Male,10
Japan,Male,3
Kuwait,Male,1
Latvia,Male,1
Lebanon,Male,1
Lithuania,Male,1
Luxembourg,Female,1
Malaysia,Male,1
Maldives,Male,1
Mauritius,Female,1
Mexico,Female,1
Mexico,Male,8
Morocco,Male,2
Mozambique,Male,1
Nepal,Male,2
Netherlands,Female,2
Netherlands,Male,12
New Zealand,Female,2
New Zealand,Male,6
Norway,Female,1
Norway,Male,7
Other Country (Not Listed Above),Male,1
Pakistan,Male,3
Peru,Female,1
Philippines,Female,1
Philippines,Male,3
Poland,Female,1
Poland,Male,12
Portugal,Female,1
Portugal,Male,5
Romania,Male,5
Russian Federation,Female,2
Russian Federation,Male,9
Saudi Arabia,Female,1
Saudi Arabia,Male,1
Singapore,Female,1
Singapore,Male,5
Slovakia,Male,3
Slovenia,Male,1
South Africa,Male,3
South Korea,Male,1
Spain,Female,2
Spain,Male,15
Sweden,Male,9
Switzerland,Male,6
Taiwan,Male,1
Thailand,Male,2
Turkey,Female,1
Turkey,Male,8
Uganda,Male,1
Ukraine,Male,7
United Kingdom,Female,7
United Kingdom,Male,71
United Republic of Tanzania,Male,1
United States,Female,38
United States,Male,261
Uruguay,Female,1
"Venezuela, Bolivarian Republic of...",Male,1
Viet Nam,Male,3
