Country,LanguageWorkedWith,Count
Albania,C#,1
Albania,CSS,1
Albania,Groovy,1
Albania,HTML,1
Albania,JavaScript,1
Albania,PHP,1
Albania,SQL,1
Algeria,C#,1
Algeria,Delphi/Object Pascal,1
Algeria,SQL,1
Andorra,Assembly,1
Argentina,Bash/Shell,1
Argentina,C++,1
Argentina,HTML,1
Argentina,Python,2
Argentina,R,1
Argentina,SQL,1
Australia,Bash/Shell,12
Australia,C,6
Australia,C#,3
Australia,C++,7
Australia,Clojure,2
Australia,CoffeeScript,1
Australia,CSS,9
Australia,F#,1
Australia,Go,3
Australia,Groovy,3
Australia,HTML,10
Australia,Java,7
Australia,JavaScript,8
Australia,Matlab,4
Australia,Objective-C,1
Australia,Perl,2
Australia,PHP,2
Australia,Python,20
Australia,R,22
Australia,Ruby,2
Australia,Scala,3
Australia,SQL,23
Australia,Swift,1
Australia,TypeScript,3
Australia,VB.NET,1
Australia,VBA,7
Australia,Visual Basic 6,1
Austria,Bash/Shell,2
Austria,C,1
Austria,C#,1
Austria,C++,3
Austria,CSS,3
Austria,Groovy,1
Austria,HTML,3
Austria,Java,1
Austria,JavaScript,3
Austria,Matlab,3
Austria,Perl,1
Austria,PHP,1
Austria,Python,5
Austria,R,3
Austria,Ruby,1
Austria,Rust,1
Austria,Scala,1
Austria,SQL,5
Austria,VBA,1
Bangladesh,C#,1
Bangladesh,R,1
Bangladesh,SQL,1
Belgium,Assembly,2
Belgium,Bash/Shell,7
Belgium,C,3
Belgium,C#,1
Belgium,C++,5
Belgium,CSS,8
Belgium,HTML,8
Belgium,Java,5
Belgium,JavaScript,7
Belgium,Matlab,1
Belgium,PHP,1
Belgium,Python,9
Belgium,R,5
Belgium,Ruby,1
Belgium,SQL,6
Belgium,VBA,2
Brazil,Bash/Shell,7
Brazil,C,3
Brazil,C#,1
Brazil,C++,2
Brazil,Clojure,1
Brazil,CSS,3
Brazil,HTML,6
Brazil,Java,3
Brazil,JavaScript,3
Brazil,Matlab,1
Brazil,PHP,1
Brazil,Python,13
Brazil,R,8
Brazil,Scala,2
Brazil,SQL,12
Brazil,VBA,1
Bulgaria,Cobol,1
Bulgaria,VB.NET,1
Bulgaria,VBA,1
Bulgaria,Visual Basic 6,1
Canada,Assembly,4
Canada,Bash/Shell,16
Canada,C,5
Canada,C#,5
Canada,C++,11
Canada,Clojure,1
Canada,CSS,10
Canada,F#,1
Canada,Go,2
Canada,Groovy,2
Canada,HTML,12
Canada,Java,13
Canada,JavaScript,11
Canada,Julia,1
Canada,Lua,3
Canada,Matlab,6
Canada,Perl,2
Canada,PHP,3
Canada,Python,29
Canada,R,14
Canada,Ruby,3
Canada,Rust,1
Canada,Scala,5
Canada,SQL,27
Canada,Swift,1
Canada,VB.NET,1
Canada,VBA,4
Canada,Visual Basic 6,1
Chile,Bash/Shell,1
Chile,Matlab,1
Chile,Python,3
Chile,R,2
Chile,SQL,4
China,Bash/Shell,6
China,C,6
China,C#,2
China,C++,2
China,Cobol,1
China,CSS,2
China,Go,1
China,HTML,5
China,Java,6
China,JavaScript,4
China,Matlab,1
China,Perl,1
China,Python,19
China,R,9
China,Scala,7
China,SQL,8
China,Visual Basic 6,1
China,VBA,1
Colombia,CSS,2
Colombia,Erlang,1
Colombia,HTML,2
Colombia,Java,1
Colombia,JavaScript,1
Colombia,Matlab,1
Colombia,Python,3
Colombia,R,2
Colombia,VBA,1
Croatia,C,1
Croatia,C++,1
Croatia,Matlab,1
Croatia,Python,1
Croatia,SQL,1
Cyprus,Python,1
Cyprus,SQL,1
Czech Republic,Assembly,2
Czech Republic,Bash/Shell,5
Czech Republic,C,3
Czech Republic,C#,1
Czech Republic,C++,2
Czech Republic,Clojure,1
Czech Republic,CSS,3
Czech Republic,Go,1
Czech Republic,HTML,4
Czech Republic,Java,3
Czech Republic,JavaScript,3
Czech Republic,Julia,2
Czech Republic,Lua,2
Czech Republic,PHP,2
Czech Republic,Python,2
Czech Republic,R,5
Czech Republic,Rust,2
Czech Republic,SQL,5
Denmark,Bash/Shell,3
Denmark,C,1
Denmark,C#,3
Denmark,C++,2
Denmark,CSS,2
Denmark,HTML,3
Denmark,Java,1
Denmark,JavaScript,2
Denmark,Matlab,2
Denmark,Python,3
Denmark,R,2
Denmark,SQL,2
Denmark,VBA,1
Egypt,C++,1
Egypt,CSS,1
Egypt,Haskell,1
Egypt,HTML,1
Egypt,JavaScript,1
Egypt,Python,2
Egypt,R,1
Egypt,Rust,1
Egypt,SQL,1
Estonia,C++,1
Estonia,CSS,1
Estonia,HTML,1
Estonia,JavaScript,1
Estonia,PHP,1
Estonia,Python,1
Estonia,R,1
Estonia,Swift,1
Finland,Bash/Shell,4
Finland,C,1
Finland,C#,1
Finland,C++,1
Finland,CSS,2
Finland,HTML,2
Finland,JavaScript,1
Finland,Lua,1
Finland,Matlab,1
Finland,Perl,1
Finland,Python,6
Finland,R,2
Finland,SQL,3
Finland,VBA,1
France,Bash/Shell,18
France,C,13
France,C#,6
France,C++,17
France,CSS,14
France,Go,1
France,Groovy,1
France,HTML,14
France,Java,14
France,JavaScript,12
France,Julia,1
France,Matlab,6
France,Objective-C,1
France,Ocaml,1
France,Perl,1
France,PHP,5
France,Python,37
France,R,25
France,Ruby,2
France,Rust,1
France,Scala,7
France,SQL,19
France,VB.NET,2
France,VBA,2
France,Visual Basic 6,1
Germany,Assembly,3
Germany,Bash/Shell,31
Germany,C,18
Germany,C#,9
Germany,C++,26
Germany,Cobol,1
Germany,CoffeeScript,2
Germany,CSS,22
Germany,Go,6
Germany,Groovy,2
Germany,Haskell,4
Germany,HTML,23
Germany,Java,30
Germany,JavaScript,23
Germany,Julia,1
Germany,Kotlin,1
Germany,Lua,2
Germany,Matlab,17
Germany,Objective-C,1
Germany,Perl,3
Germany,PHP,7
Germany,Python,57
Germany,R,38
Germany,Ruby,3
Germany,Rust,2
Germany,Scala,12
Germany,SQL,28
Germany,Swift,2
Germany,TypeScript,4
Germany,VB.NET,1
Germany,VBA,9
Ghana,R,1
Greece,Java,1
Greece,Python,3
Greece,R,2
Greece,SQL,1
Greece,VBA,1
Guatemala,CSS,1
Guatemala,HTML,1
Guatemala,JavaScript,1
Guatemala,PHP,1
Guatemala,SQL,1
Hungary,Bash/Shell,2
Hungary,C++,2
Hungary,CSS,2
Hungary,HTML,2
Hungary,Java,1
Hungary,JavaScript,2
Hungary,Kotlin,1
Hungary,Objective-C,1
Hungary,PHP,2
Hungary,Python,3
Hungary,R,2
Hungary,SQL,2
Hungary,VBA,1
India,Assembly,9
India,Bash/Shell,27
India,C,36
India,C#,8
India,C++,30
India,Cobol,1
India,CoffeeScript,1
India,CSS,41
India,Delphi/Object Pascal,1
India,Groovy,1
India,Haskell,1
India,HTML,42
India,Java,49
India,JavaScript,40
India,Julia,2
India,Kotlin,1
India,Lua,1
India,Matlab,23
India,Objective-C,2
India,Ocaml,1
India,Perl,6
India,PHP,19
India,Python,77
India,R,40
India,Ruby,6
India,Rust,2
India,Scala,17
India,SQL,53
India,Swift,2
India,TypeScript,1
India,VB.NET,2
India,VBA,9
India,Visual Basic 6,2
Indonesia,Julia,1
Indonesia,Lua,1
Indonesia,Matlab,2
Indonesia,Python,2
Indonesia,R,1
Indonesia,Scala,1
Indonesia,SQL,1
Iran,C,1
Iran,C#,1
Iran,CSS,2
Iran,HTML,2
Iran,Java,1
Iran,JavaScript,1
Iran,Matlab,1
Iran,Python,1
Iran,SQL,1
Iraq,Matlab,1
Iraq,Visual Basic 6,1
Ireland,Bash/Shell,2
Ireland,CSS,3
Ireland,HTML,3
Ireland,Java,2
Ireland,JavaScript,5
Ireland,Julia,1
Ireland,Matlab,2
Ireland,Python,6
Ireland,R,3
Ireland,Scala,1
Ireland,SQL,4
Ireland,VBA,1
Israel,Bash/Shell,8
Israel,C,1
Israel,C#,1
Israel,C++,3
Israel,CSS,3
Israel,Go,1
Israel,Haskell,1
Israel,HTML,4
Israel,Java,4
Israel,JavaScript,2
Israel,Matlab,4
Israel,PHP,2
Israel,Python,12
Israel,R,5
Israel,Scala,3
Israel,SQL,8
Israel,TypeScript,1
Israel,VB.NET,1
Israel,VBA,2
Israel,Visual Basic 6,1
Italy,Bash/Shell,5
Italy,C,3
Italy,C#,2
Italy,C++,3
Italy,CSS,6
Italy,Groovy,1
Italy,HTML,7
Italy,Java,5
Italy,JavaScript,7
Italy,Matlab,4
Italy,Objective-C,1
Italy,Perl,1
Italy,PHP,4
Italy,Python,10
Italy,R,6
Italy,Scala,4
Italy,SQL,12
Italy,VBA,2
Italy,Visual Basic 6,1
Japan,Bash/Shell,2
Japan,C,1
Japan,C#,1
Japan,C++,1
Japan,Groovy,1
Japan,Java,1
Japan,JavaScript,1
Japan,Matlab,1
Japan,Objective-C,1
Japan,Python,1
Japan,R,1
Japan,SQL,1
Japan,VB.NET,1
Japan,VBA,1
Jordan,C,1
Jordan,C#,1
Jordan,C++,1
Jordan,HTML,1
Jordan,Python,2
Kenya,CSS,1
Kenya,HTML,1
Kenya,JavaScript,1
Kenya,Python,1
Kenya,R,1
Kuwait,C,1
Kuwait,C++,1
Kuwait,R,1
Kuwait,SQL,1
Kuwait,VBA,1
Latvia,Python,1
Lebanon,SQL,1
Lithuania,Python,1
Lithuania,R,1
Lithuania,SQL,2
Lithuania,VB.NET,1
Lithuania,VBA,1
Luxembourg,Matlab,1
Luxembourg,R,1
Malaysia,Assembly,1
Malaysia,Bash/Shell,1
Malaysia,C#,1
Malaysia,CoffeeScript,1
Malaysia,Go,1
Malaysia,Hack,1
Malaysia,HTML,1
Malaysia,Java,1
Malaysia,Matlab,1
Malaysia,PHP,1
Malaysia,Python,2
Malaysia,R,2
Malaysia,Scala,2
Malaysia,SQL,2
Malaysia,Swift,1
Malaysia,TypeScript,1
Malaysia,VBA,1
Maldives,Bash/Shell,1
Maldives,C,1
Maldives,C++,1
Maldives,CSS,1
Maldives,HTML,1
Maldives,Java,1
Maldives,JavaScript,1
Maldives,Lua,1
Maldives,PHP,1
Maldives,Python,1
Maldives,Ruby,1
Maldives,SQL,1
Maldives,VBA,1
Maldives,Visual Basic 6,1
Malta,Java,1
Malta,Matlab,1
Malta,Python,1
Malta,SQL,1
Mauritius,Bash/Shell,1
Mauritius,C,1
Mauritius,C#,1
Mauritius,C++,1
Mauritius,CSS,1
Mauritius,HTML,1
Mauritius,Java,1
Mauritius,JavaScript,1
