Country,PlatformWorkedWith,Count
Albania,Windows Desktop or Server,1
Algeria,Android,1
Algeria,Windows Desktop or Server,2
Andorra,Android,1
Argentina,AWS,1
Argentina,Linux,1
Argentina,Mac OS,1
Argentina,Raspberry Pi,1
Argentina,Serverless,1
Australia,Android,2
Australia,AWS,7
Australia,Azure,3
Australia,Google Cloud Platform/App Engine,3
Australia,Heroku,2
Australia,IBM Cloud or Watson,2
Australia,iOS,1
Australia,Linux,13
Australia,Mac OS,4
Australia,Raspberry Pi,1
Australia,Salesforce,1
Australia,Serverless,1
Australia,SharePoint,2
Australia,Windows Desktop or Server,8
Australia,Windows Phone,1
Australia,WordPress,1
Austria,AWS,1
Austria,Azure,1
Austria,Linux,3
Austria,Windows Desktop or Server,3
Bangladesh,Windows Desktop or Server,1
Belgium,Amazon Echo,1
Belgium,Android,2
Belgium,Google Cloud Platform/App Engine,1
Belgium,IBM Cloud or Watson,1
Belgium,Linux,3
Belgium,Mac OS,2
Belgium,Raspberry Pi,1
Belgium,Windows Desktop or Server,4
Brazil,AWS,3
Brazil,Azure,3
Brazil,Drupal,1
Brazil,Firebase,1
Brazil,IBM Cloud or Watson,1
Brazil,Linux,3
Brazil,Salesforce,1
Brazil,SharePoint,1
Brazil,Windows Desktop or Server,4
Bulgaria,Google Cloud Platform/App Engine,1
Bulgaria,Windows Desktop or Server,1
Canada,Android,3
Canada,Apple Watch or Apple TV,1
Canada,Arduino,3
Canada,AWS,9
Canada,Azure,5
Canada,Firebase,1
Canada,Google Cloud Platform/App Engine,3
Canada,IBM Cloud or Watson,3
Canada,iOS,2
Canada,Linux,12
Canada,Mac OS,4
Canada,Raspberry Pi,6
Canada,Salesforce,1
Canada,SharePoint,2
Canada,Windows Desktop or Server,9
Canada,WordPress,2
Chile,Azure,1
Chile,Linux,2
Chile,Raspberry Pi,2
Chile,Windows Desktop or Server,3
China,Arduino,1
China,AWS,2
China,Google Cloud Platform/App Engine,2
China,Google Home,1
China,Heroku,1
China,Linux,15
China,Mac OS,5
China,Windows Desktop or Server,3
China,Windows Phone,1
China,WordPress,1
Colombia,Android,1
Colombia,AWS,1
Colombia,Google Cloud Platform/App Engine,1
Colombia,Mac OS,1
Colombia,WordPress,1
Cyprus,Windows Desktop or Server,1
Czech Republic,Android,3
Czech Republic,Apple Watch or Apple TV,1
Czech Republic,AWS,3
Czech Republic,Google Cloud Platform/App Engine,1
Czech Republic,Linux,5
Czech Republic,Mac OS,1
Czech Republic,Mainframe,2
Czech Republic,Windows Desktop or Server,2
Czech Republic,WordPress,2
Denmark,AWS,2
Denmark,Azure,1
Denmark,Linux,3
Denmark,Raspberry Pi,1
Denmark,Windows Desktop or Server,3
Egypt,Windows Desktop or Server,2
Finland,AWS,1
Finland,Azure,1
Finland,Gaming console,1
Finland,Heroku,1
Finland,Linux,1
Finland,Mac OS,1
Finland,SharePoint,1
Finland,Windows Desktop or Server,1
France,Amazon Echo,1
France,Android,2
France,Arduino,3
France,AWS,9
France,Firebase,1
France,Google Cloud Platform/App Engine,1
France,Heroku,2
France,IBM Cloud or Watson,2
France,Linux,19
France,Mac OS,6
France,Raspberry Pi,5
France,Windows Desktop or Server,8
France,WordPress,2
Germany,Amazon Echo,1
Germany,Android,9
Germany,Apple Watch or Apple TV,1
Germany,Arduino,3
Germany,AWS,12
Germany,Azure,4
Germany,ESP8266,1
Germany,Firebase,3
Germany,Google Home,1
Germany,Heroku,2
Germany,IBM Cloud or Watson,1
Germany,iOS,2
Germany,Linux,38
Germany,Mac OS,8
Germany,Raspberry Pi,14
Germany,Salesforce,1
Germany,Serverless,2
Germany,SharePoint,4
Germany,Windows Desktop or Server,18
Germany,WordPress,3
Ghana,Heroku,1
Ghana,Linux,1
Greece,Linux,1
Greece,Windows Desktop or Server,1
Guatemala,Android,1
Guatemala,Linux,1
Hong Kong (S.A.R.),Firebase,1
Hungary,AWS,1
Hungary,Linux,3
Hungary,SharePoint,1
Hungary,Windows Desktop or Server,1
Hungary,WordPress,1
India,Amazon Echo,2
India,Android,11
India,Arduino,10
India,AWS,23
India,Azure,6
India,Drupal,1
India,ESP8266,1
India,Firebase,6
India,Google Cloud Platform/App Engine,9
India,Heroku,6
India,IBM Cloud or Watson,2
India,iOS,2
India,Linux,47
India,Mac OS,8
India,Mainframe,2
India,Raspberry Pi,9
India,Salesforce,2
India,Serverless,2
India,SharePoint,2
India,Windows Desktop or Server,23
India,Windows Phone,1
India,WordPress,7
Indonesia,Android,1
Indonesia,Linux,1
Indonesia,Mac OS,1
Indonesia,Windows Desktop or Server,1
Iran,Linux,1
Iran,Windows Desktop or Server,1
Iraq,Android,1
Ireland,AWS,1
Ireland,Google Cloud Platform/App Engine,1
Ireland,IBM Cloud or Watson,2
Ireland,Linux,3
Ireland,Mac OS,1
Israel,Amazon Echo,1
Israel,Android,1
Israel,AWS,4
Israel,Azure,1
Israel,Firebase,1
Israel,Google Cloud Platform/App Engine,3
Israel,IBM Cloud or Watson,2
Israel,Linux,7
Israel,Raspberry Pi,1
Israel,Serverless,1
Israel,Windows Desktop or Server,1
Israel,WordPress,2
Italy,Android,2
Italy,Arduino,2
Italy,AWS,4
Italy,Azure,1
Italy,Firebase,1
Italy,Google Cloud Platform/App Engine,1
Italy,Heroku,1
Italy,IBM Cloud or Watson,2
Italy,Linux,5
Italy,Mac OS,4
Italy,Salesforce,1
Italy,Windows Desktop or Server,4
Japan,Arduino,1
Japan,AWS,1
Japan,Linux,1
Japan,Mac OS,1
Japan,Raspberry Pi,1
Japan,Windows Desktop or Server,2
Kenya,Windows Desktop or Server,1
Kuwait,Windows Desktop or Server,1
Latvia,Linux,1
Lebanon,Linux,1
Lebanon,Windows Desktop or Server,1
Malaysia,Android,1
Malaysia,ESP8266,1
Malaysia,Firebase,1
Malaysia,Gaming console,1
Malaysia,Google Cloud Platform/App Engine,1
Malaysia,Google Home,1
Malaysia,iOS,1
Malaysia,Mainframe,1
Malaysia,Predix,1
Malaysia,Serverless,1
Malaysia,SharePoint,1
Malaysia,Windows Desktop or Server,1
Malaysia,Windows Phone,1
Malaysia,WordPress,1
